volt,amphere,watt
4.980,0.146,0.730
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.146,0.730
5.005,0.068,0.342
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.068,0.340
5.005,0.068,0.342
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.078,0.389
5.005,0.059,0.293
4.980,0.059,0.292
4.980,0.063,0.316
4.956,0.063,0.315
4.956,0.068,0.339
4.980,0.142,0.705
4.956,0.068,0.339
4.956,0.073,0.363
4.980,0.063,0.316
4.956,0.063,0.315
5.005,0.098,0.489
5.005,0.078,0.391
5.005,0.083,0.415
4.980,0.078,0.389
4.980,0.073,0.365
4.980,0.073,0.365
5.005,0.054,0.269
5.005,0.059,0.293
5.005,0.049,0.244
5.005,0.059,0.293
5.005,0.054,0.269
4.980,0.078,0.389
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.078,0.389
4.980,0.054,0.268
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.059,0.292
4.980,0.059,0.292
4.980,0.156,0.778
5.005,0.078,0.391
4.980,0.142,0.705
4.956,0.142,0.702
4.980,0.146,0.730
4.980,0.151,0.754
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.142,0.705
5.005,0.078,0.391
5.005,0.073,0.367
4.980,0.063,0.316
4.980,0.063,0.316
4.956,0.068,0.339
4.980,0.059,0.292
5.005,0.063,0.318
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.059,0.293
5.005,0.059,0.293
5.005,0.059,0.293
5.005,0.068,0.342
4.980,0.068,0.340
4.980,0.073,0.365
4.956,0.073,0.363
4.980,0.063,0.316
4.980,0.059,0.292
5.005,0.054,0.269
5.005,0.054,0.269
5.005,0.059,0.293
4.980,0.059,0.292
4.980,0.142,0.705
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.054,0.268
4.980,0.054,0.268
5.005,0.103,0.513
5.005,0.083,0.415
4.956,0.063,0.315
4.980,0.063,0.316
4.980,0.059,0.292
5.005,0.068,0.342
5.005,0.078,0.391
5.005,0.068,0.342
5.005,0.073,0.367
5.005,0.063,0.318
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.063,0.318
5.005,0.059,0.293
5.005,0.068,0.342
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.146,0.730
5.005,0.054,0.269
4.980,0.142,0.705
5.005,0.054,0.269
5.005,0.054,0.269
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.054,0.268
5.005,0.059,0.293
4.980,0.054,0.268
4.980,0.059,0.292
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.063,0.316
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.059,0.292
4.980,0.059,0.292
4.980,0.059,0.292
5.005,0.054,0.269
5.005,0.059,0.293
4.980,0.142,0.705
5.005,0.068,0.342
5.005,0.078,0.391
4.980,0.054,0.268
5.005,0.078,0.391
4.980,0.146,0.730
4.980,0.059,0.292
5.005,0.063,0.318
5.005,0.073,0.367
4.980,0.063,0.316
5.005,0.078,0.391
4.980,0.068,0.340
5.005,0.063,0.318
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.068,0.342
4.980,0.078,0.389
4.980,0.068,0.340
5.005,0.054,0.269
5.005,0.078,0.391
4.980,0.146,0.730
4.956,0.142,0.702
4.980,0.142,0.705
4.956,0.146,0.726
4.980,0.142,0.705
4.956,0.142,0.702
4.956,0.146,0.726
4.980,0.156,0.778
4.980,0.054,0.268
5.005,0.054,0.269
4.980,0.063,0.316
4.980,0.142,0.705
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.146,0.730
4.980,0.063,0.316
4.980,0.063,0.316
5.005,0.068,0.342
5.005,0.078,0.391
4.980,0.063,0.316
5.005,0.078,0.391
4.980,0.063,0.316
5.005,0.078,0.391
4.980,0.068,0.340
4.980,0.068,0.340
5.005,0.063,0.318
5.005,0.059,0.293
5.005,0.059,0.293
4.980,0.078,0.389
4.980,0.078,0.389
5.005,0.093,0.464
4.980,0.078,0.389
4.980,0.073,0.365
4.980,0.073,0.365
5.005,0.078,0.391
4.980,0.063,0.316
5.005,0.059,0.293
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.059,0.292
4.980,0.142,0.705
4.980,0.054,0.268
5.005,0.059,0.293
5.005,0.054,0.269
4.980,0.059,0.292
4.980,0.059,0.292
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.151,0.754
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.151,0.754
4.980,0.166,0.827
4.980,0.151,0.754
4.980,0.151,0.754
5.005,0.068,0.342
5.005,0.078,0.391
4.956,0.063,0.315
4.980,0.063,0.316
4.956,0.068,0.339
4.980,0.078,0.389
4.980,0.059,0.292
5.005,0.063,0.318
5.005,0.063,0.318
5.005,0.073,0.367
4.956,0.142,0.702
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.078,0.389
5.005,0.078,0.391
4.980,0.142,0.705
4.980,0.054,0.268
4.980,0.054,0.268
4.980,0.059,0.292
4.980,0.059,0.292
4.980,0.063,0.316
4.980,0.078,0.389
4.980,0.073,0.365
5.005,0.078,0.391
5.005,0.068,0.342
5.005,0.073,0.367
5.005,0.073,0.367
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.063,0.316
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.073,0.365
4.956,0.068,0.339
4.980,0.068,0.340
4.980,0.068,0.340
4.980,0.068,0.340
4.980,0.142,0.705
4.980,0.068,0.340
4.980,0.068,0.340
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.146,0.730
4.956,0.146,0.726
4.980,0.142,0.705
5.005,0.078,0.391
5.005,0.068,0.342
5.005,0.054,0.269
5.005,0.078,0.391
4.980,0.073,0.365
5.005,0.054,0.269
4.980,0.078,0.389
4.980,0.078,0.389
5.005,0.054,0.269
4.980,0.073,0.365
4.980,0.054,0.268
5.005,0.054,0.269
4.980,0.059,0.292
4.980,0.063,0.316
4.980,0.063,0.316
4.980,0.063,0.316
4.980,0.137,0.681
4.980,0.059,0.292
4.980,0.063,0.316
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.142,0.705
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.078,0.391
4.980,0.068,0.340
4.980,0.063,0.316
5.005,0.063,0.318
5.005,0.068,0.342
5.005,0.073,0.367
5.005,0.059,0.293
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.068,0.340
4.980,0.063,0.316
4.980,0.073,0.365
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.146,0.730
4.980,0.142,0.705
4.980,0.146,0.730
4.980,0.083,0.413
5.005,0.083,0.415
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.161,0.803
4.980,0.151,0.754
4.956,0.142,0.702
4.980,0.146,0.730
4.980,0.146,0.730
5.005,0.083,0.415
5.005,0.054,0.269
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.078,0.389
4.956,0.059,0.290
4.980,0.059,0.292
4.980,0.059,0.292
4.980,0.063,0.316
4.980,0.063,0.316
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.059,0.293
5.005,0.068,0.342
4.980,0.068,0.340
4.980,0.142,0.705
4.980,0.146,0.730
5.005,0.078,0.391
4.980,0.078,0.389
4.980,0.073,0.365
4.980,0.063,0.316
4.980,0.142,0.705
4.980,0.063,0.316
5.005,0.054,0.269
5.005,0.059,0.293
5.005,0.059,0.293
4.980,0.142,0.705
5.005,0.073,0.367
4.980,0.059,0.292
5.005,0.059,0.293
5.005,0.059,0.293
4.980,0.059,0.292
5.005,0.078,0.391
4.980,0.073,0.365
4.980,0.059,0.292
4.980,0.054,0.268
5.005,0.059,0.293
5.005,0.078,0.391
4.980,0.073,0.365
4.980,0.063,0.316
5.005,0.068,0.342
5.029,0.068,0.344
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.151,0.754
4.956,0.142,0.702
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.146,0.730
4.980,0.142,0.705
4.980,0.146,0.730
4.956,0.068,0.339
4.956,0.142,0.702
4.980,0.073,0.365
4.980,0.073,0.365
4.956,0.073,0.363
4.980,0.073,0.365
4.980,0.073,0.365
4.980,0.073,0.365
4.980,0.078,0.389
4.980,0.078,0.389
4.956,0.068,0.339
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.078,0.391
4.980,0.078,0.389
5.005,0.078,0.391
5.005,0.078,0.391
5.005,0.068,0.342
5.005,0.078,0.391
4.980,0.078,0.389
5.005,0.073,0.367
5.005,0.073,0.367
4.980,0.142,0.705
4.980,0.059,0.292
5.029,0.078,0.393
4.980,0.054,0.268
5.005,0.078,0.391
4.956,0.142,0.702
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.073,0.367
4.980,0.142,0.705
4.980,0.054,0.268
5.005,0.068,0.342
4.980,0.063,0.316
4.980,0.068,0.340
4.956,0.068,0.339
4.980,0.063,0.316
4.980,0.073,0.365
5.005,0.059,0.293
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.142,0.705
4.980,0.146,0.730
4.980,0.146,0.730
4.980,0.078,0.389
5.005,0.078,0.391
5.005,0.083,0.415
5.005,0.078,0.391
4.980,0.156,0.778
4.980,0.059,0.292
5.005,0.054,0.269
5.005,0.054,0.269
5.005,0.073,0.367
4.980,0.142,0.705
4.980,0.059,0.292
4.980,0.059,0.292
5.005,0.078,0.391
5.005,0.073,0.367
5.005,0.073,0.367
5.005,0.073,0.367
4.980,0.063,0.316
4.980,0.059,0.292
4.980,0.063,0.316
4.956,0.063,0.315
4.980,0.068,0.340
5.005,0.063,0.318
5.005,0.068,0.342
5.005,0.063,0.318
5.005,0.068,0.342
5.005,0.059,0.293
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.059,0.293
5.005,0.059,0.293
5.005,0.068,0.342
4.980,0.078,0.389
4.956,0.068,0.339
4.956,0.073,0.363
4.956,0.078,0.387
4.980,0.137,0.681
4.980,0.078,0.389
5.005,0.078,0.391
