I%M/ˆ`<æ=a>iié\md¸a§=¬	LœÁKHþtemp,light,hum
21.60,0.00,68.30
21.20,0.00,71.70
21.20,0.00,71.70
21.20,0.00,71.70
21.20,0.00,71.70
21.20,0.00,71.70
21.20,0.00,71.70
21.20,0.00,71.70
21.20,0.00,71.70
21.20,0.00,71.70
21.30,0.00,72.00
21.30,0.00,72.00
21.30,0.00,72.00
21.30,0.00,72.00
21.30,0.00,72.00
21.30,0.00,72.00
21.30,0.00,72.00
21.30,0.00,72.00
21.40,0.00,69.60
21.40,0.00,69.60
21.40,0.00,69.60
21.40,0.00,69.60
21.40,0.00,69.60
21.40,0.00,69.60
21.40,0.00,69.60
21.40,0.00,69.60
21.40,0.00,69.60
21.30,0.00,71.90
21.30,0.00,71.90
21.30,0.00,71.90
21.30,0.00,71.90
21.30,0.00,71.90
21.30,0.00,71.90
21.30,0.00,71.90
21.30,0.00,71.90
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,72.30
21.30,0.00,69.70
21.30,0.00,69.70
21.30,0.00,69.70
21.30,0.00,69.70
21.30,0.00,69.70
21.30,0.00,69.70
21.30,0.00,69.70
21.30,0.00,69.70
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,69.00
21.50,0.00,72.80
21.50,0.00,72.80
21.50,0.00,72.80
21.50,0.00,72.80
21.50,0.00,72.80
21.50,0.00,72.80
21.50,0.00,72.80
21.50,0.00,72.80
21.50,0.00,71.40
21.40,0.00,71.40
21.40,0.00,71.40
21.40,0.00,71.40
21.40,0.00,71.40
21.40,0.00,71.40
21.40,0.00,71.40
21.40,0.00,71.40
21.40,0.00,71.40
21.30,0.00,71.20
21.30,0.00,71.20
21.30,0.00,71.20
21.30,0.00,71.20
21.30,0.00,71.20
21.30,0.00,71.20
21.30,0.00,71.20
21.30,0.00,71.20
21.30,0.00,71.20
21.50,0.00,69.30
21.50,0.00,69.30
21.50,0.00,69.30
21.50,0.00,69.30
21.50,0.00,69.30
21.50,0.00,69.30
21.50,0.00,69.30
21.50,0.00,69.30
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.70
21.60,0.00,70.80
21.60,0.00,70.80
21.60,0.00,70.80
21.60,0.00,70.80
21.60,0.00,70.80
21.60,0.00,70.80
21.60,0.00,70.80
21.60,0.00,70.80
21.80,0.00,69.70
21.80,0.00,69.70
21.80,0.00,69.70
21.80,0.00,69.70
21.80,0.00,69.70
21.80,0.00,69.70
21.80,0.00,69.70
21.80,0.00,69.70
21.80,0.00,69.70
21.50,0.00,70.80
21.50,0.00,70.80
21.50,0.00,70.80
21.50,0.00,70.80
21.50,0.00,70.80
21.50,0.00,70.80
21.50,0.00,70.80
21.50,0.00,70.80
21.30,0.00,70.70
21.30,0.00,70.70
21.30,0.00,70.70
21.30,0.00,70.70
21.30,0.00,70.70
21.30,0.00,70.70
21.30,0.00,70.70
21.30,0.00,70.70
21.30,0.00,70.70
21.50,0.00,71.30
21.50,0.00,71.30
21.50,0.00,71.30
21.50,0.00,71.30
21.50,0.00,71.30
21.50,0.00,71.30
21.50,0.00,71.30
21.50,0.00,71.30
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,71.60
21.40,0.00,71.60
21.40,0.00,71.60
21.40,0.00,71.60
21.40,0.00,71.60
21.40,0.00,71.60
21.40,0.00,71.60
21.40,0.00,71.60
21.20,0.00,71.50
21.20,0.00,71.50
21.20,0.00,71.50
21.20,0.00,71.50
21.20,0.00,71.50
21.20,0.00,71.50
21.20,0.00,71.50
21.20,0.00,71.50
21.20,0.00,71.50
21.50,0.00,70.70
21.50,0.00,70.70
21.50,0.00,70.70
21.50,0.00,70.70
21.50,0.00,70.70
21.50,0.00,70.70
21.50,0.00,70.70
21.50,0.00,70.70
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,68.00
21.60,0.00,70.20
21.60,0.00,70.20
21.60,0.00,70.20
21.60,0.00,70.20
21.60,0.00,70.20
21.60,0.00,70.20
21.60,0.00,70.20
21.60,0.00,70.20
21.60,0.00,70.20
21.70,0.00,66.60
21.70,0.00,66.60
21.70,0.00,66.60
21.70,0.00,66.60
21.70,0.00,66.60
21.70,0.00,66.60
21.70,0.00,66.60
21.70,0.00,66.60
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,70.20
21.40,0.00,69.90
21.40,0.00,69.90
21.40,0.00,69.90
21.40,0.00,69.90
21.40,0.00,69.90
21.40,0.00,69.90
21.40,0.00,69.90
21.40,0.00,69.90
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,71.80
21.50,0.00,70.60
21.50,0.00,70.60
21.50,0.00,70.60
21.50,0.00,70.60
21.50,0.00,70.60
21.50,0.00,70.60
21.50,0.00,70.60
21.50,0.00,70.60
21.60,0.00,69.60
21.60,0.00,69.60
21.60,0.00,69.60
21.60,0.00,69.60
21.60,0.00,69.60
21.60,0.00,69.60
21.60,0.00,69.60
21.60,0.00,69.60
21.60,0.00,69.60
21.50,0.00,70.20
21.50,0.00,70.20
21.50,0.00,70.20
21.50,0.00,70.20
21.50,0.00,70.20
21.50,0.00,70.20
21.50,0.00,70.20
21.50,0.00,70.20
21.50,0.00,70.10
21.50,0.00,70.10
21.50,0.00,70.10
21.50,0.00,70.10
21.50,0.00,70.10
21.50,0.00,70.10
21.50,0.00,70.10
21.50,0.00,70.10
21.50,0.00,70.10
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,0.00,70.60
21.80,3.33,70.60
21.80,3.33,70.60
21.80,3.33,70.60
21.70,0.00,70.70
21.70,0.00,70.70
21.70,6.67,70.70
21.70,13.33,70.70
21.70,13.33,70.70
21.70,13.33,70.70
21.70,23.33,70.70
21.70,23.33,70.70
21.70,23.33,63.10
21.70,23.33,63.10
21.70,23.33,63.10
21.70,20.00,63.10
21.70,20.00,63.10
21.70,20.00,63.10
21.70,26.67,63.10
21.70,23.33,63.10
21.70,23.33,63.10
21.50,23.33,69.90
21.50,23.33,69.90
21.50,73.33,69.90
21.50,120.00,69.90
21.50,93.33,69.90
21.50,70.00,69.90
21.50,33.33,69.90
21.50,40.00,69.90
21.50,20.00,69.90
21.80,310.00,72.50
21.80,70.00,72.50
21.80,93.33,72.50
21.80,76.67,72.50
21.80,16.67,72.50
21.80,116.67,72.50
21.80,46.67,72.50
21.80,0.00,72.50
21.60,0.00,70.40
21.60,0.00,70.40
21.60,0.00,70.40
21.60,0.00,70.40
21.60,0.00,70.40
21.60,0.00,70.40
21.60,0.00,70.40
21.60,0.00,70.40
21.60,0.00,70.40
21.50,0.00,73.10
21.50,0.00,73.10
21.50,0.00,73.10
21.50,0.00,73.10
21.50,0.00,73.10
21.50,3.33,73.10
21.50,43.33,73.10
21.50,0.00,73.10
21.30,0.00,71.30
21.30,0.00,71.30
21.30,0.00,71.30
21.30,0.00,71.30
21.30,0.00,71.30
21.30,0.00,71.30
21.30,3.33,71.30
21.30,3.33,71.30
21.30,13.33,71.30
21.30,13.33,72.40
21.30,13.33,72.40
21.30,16.67,72.40
21.30,10.00,72.40
21.30,10.00,72.40
21.30,13.33,72.40
21.30,13.33,72.40
21.30,13.33,72.40
21.80,16.67,71.50
21.80,13.33,71.50
21.80,20.00,71.50
21.80,16.67,71.50
21.80,20.00,71.50
21.80,16.67,71.50
21.80,16.67,71.50
21.80,20.00,71.50
21.80,20.00,71.50
21.60,20.00,69.90
21.60,13.33,69.90
21.60,16.67,69.90
21.60,20.00,69.90
21.60,20.00,69.90
21.60,20.00,69.90
21.60,16.67,69.90
21.60,20.00,69.90
21.90,20.00,70.00
21.90,20.00,70.00
21.90,23.33,70.00
21.90,20.00,70.00
21.90,16.67,70.00
21.90,20.00,70.00
21.90,20.00,70.00
21.90,16.67,70.00
21.90,20.00,70.00
21.80,16.67,71.20
21.80,20.00,71.20
21.80,16.67,71.20
21.80,16.67,71.20
21.80,16.67,71.20
21.80,16.67,71.20
21.80,20.00,71.20
21.80,16.67,71.20
