volt,amphere,watt
5.005,0.049,0.244
5.005,0.063,0.318
4.980,0.059,0.292
4.980,0.068,0.340
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.059,0.293
5.005,0.054,0.269
4.980,0.054,0.268
4.956,0.059,0.290
4.956,0.063,0.315
4.980,0.068,0.340
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.049,0.244
4.980,0.059,0.292
4.980,0.054,0.268
4.956,0.059,0.290
4.980,0.073,0.365
5.005,0.059,0.293
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.063,0.316
4.980,0.068,0.340
5.005,0.059,0.293
4.980,0.049,0.243
4.980,0.054,0.268
4.980,0.068,0.340
4.980,0.073,0.365
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.063,0.316
4.980,0.068,0.340
5.005,0.063,0.318
5.005,0.054,0.269
4.980,0.054,0.268
4.956,0.059,0.290
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.049,0.244
5.005,0.054,0.269
4.980,0.059,0.292
4.980,0.068,0.340
5.005,0.068,0.342
4.980,0.049,0.243
5.005,0.054,0.269
4.956,0.063,0.315
4.980,0.068,0.340
5.005,0.068,0.342
5.005,0.054,0.269
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.059,0.292
4.980,0.068,0.340
4.980,0.068,0.340
5.005,0.063,0.318
5.005,0.049,0.244
4.980,0.054,0.268
4.980,0.054,0.268
4.980,0.068,0.340
4.980,0.068,0.340
5.005,0.054,0.269
5.005,0.049,0.244
4.980,0.049,0.243
4.980,0.059,0.292
4.956,0.068,0.339
5.005,0.068,0.342
5.005,0.063,0.318
5.005,0.059,0.293
5.005,0.054,0.269
4.980,0.059,0.292
4.980,0.063,0.316
5.005,0.068,0.342
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.054,0.268
4.956,0.063,0.315
4.980,0.068,0.340
5.005,0.054,0.269
5.005,0.049,0.244
4.980,0.049,0.243
4.980,0.059,0.292
4.980,0.068,0.340
5.005,0.068,0.342
5.005,0.049,0.244
5.005,0.049,0.244
4.980,0.054,0.268
4.980,0.054,0.268
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.049,0.244
4.980,0.054,0.268
4.980,0.063,0.316
5.005,0.059,0.293
5.005,0.054,0.269
4.980,0.049,0.243
4.980,0.068,0.340
4.980,0.068,0.340
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.054,0.268
4.956,0.063,0.315
5.005,0.068,0.342
5.005,0.063,0.318
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.054,0.268
4.980,0.068,0.340
4.980,0.063,0.316
5.005,0.054,0.269
4.980,0.054,0.268
4.956,0.054,0.266
4.980,0.068,0.340
5.005,0.068,0.342
5.005,0.049,0.244
4.980,0.049,0.243
4.956,0.059,0.290
4.956,0.063,0.315
5.005,0.068,0.342
5.005,0.063,0.318
5.005,0.049,0.244
5.005,0.054,0.269
4.980,0.059,0.292
4.980,0.063,0.316
5.005,0.068,0.342
5.005,0.068,0.342
5.005,0.054,0.269
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.059,0.292
4.980,0.073,0.365
5.005,0.059,0.293
5.005,0.049,0.244
4.980,0.054,0.268
4.980,0.054,0.268
4.980,0.068,0.340
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.054,0.268
4.956,0.059,0.290
4.980,0.063,0.316
4.980,0.068,0.340
5.005,0.068,0.342
4.980,0.068,0.340
5.005,0.059,0.293
5.005,0.054,0.269
4.980,0.054,0.268
4.980,0.063,0.316
5.005,0.068,0.342
5.005,0.059,0.293
5.005,0.049,0.244
4.956,0.054,0.266
4.980,0.054,0.268
5.005,0.068,0.342
4.980,0.073,0.365
5.005,0.063,0.318
5.005,0.054,0.269
