I%M/ˆ`<†-q.iié\md¸a§=¬LŒÁKXþtemp,light,hum
22.00,0.00,69.10
22.00,3.33,69.10
22.00,0.00,69.10
22.00,0.00,69.10
22.00,0.00,69.10
22.00,0.00,69.10
22.00,0.00,69.10
22.00,3.33,69.10
22.00,3.33,69.30
22.00,3.33,69.30
22.00,3.33,69.30
22.00,0.00,69.30
22.00,0.00,69.30
22.00,3.33,69.30
22.00,3.33,69.30
22.00,0.00,69.30
22.00,0.00,69.30
22.10,0.00,69.80
22.10,0.00,69.80
22.10,0.00,69.80
22.10,3.33,69.80
22.10,3.33,69.80
22.10,0.00,69.80
22.10,0.00,69.80
22.10,3.33,69.80
22.20,3.33,69.50
22.20,0.00,69.50
22.20,0.00,69.50
22.20,6.67,69.50
22.20,3.33,69.50
22.20,3.33,69.50
22.20,0.00,69.50
22.20,0.00,69.50
22.20,3.33,69.50
22.20,3.33,68.10
22.20,0.00,68.10
22.20,3.33,68.10
22.20,0.00,68.10
22.20,0.00,68.10
22.20,3.33,68.10
22.20,3.33,68.10
22.20,0.00,68.10
22.30,3.33,63.00
22.30,0.00,63.00
22.30,0.00,63.00
22.30,3.33,63.00
22.30,0.00,63.00
22.30,3.33,63.00
22.30,3.33,63.00
22.30,0.00,63.00
22.30,0.00,63.00
22.00,3.33,68.70
22.00,3.33,68.70
22.00,3.33,68.70
22.00,3.33,68.70
22.00,3.33,68.70
22.00,0.00,68.70
22.00,3.33,68.70
22.00,3.33,68.70
22.00,3.33,68.70
22.10,0.00,68.30
22.10,0.00,68.30
22.10,0.00,68.30
22.10,0.00,68.30
22.10,3.33,68.30
22.10,0.00,68.30
22.10,0.00,68.30
22.10,3.33,68.30
22.20,0.00,64.80
22.20,3.33,64.80
22.20,0.00,64.80
22.20,0.00,64.80
22.20,0.00,64.80
22.20,0.00,64.80
22.20,0.00,64.80
22.20,0.00,64.80
22.20,0.00,64.80
21.80,3.33,68.00
21.80,3.33,68.00
21.80,3.33,68.00
21.80,3.33,68.00
21.80,3.33,68.00
21.80,0.00,68.00
21.80,3.33,68.00
21.80,0.00,68.00
21.90,3.33,69.40
21.90,3.33,69.40
21.90,0.00,69.40
21.90,3.33,69.40
21.90,3.33,69.40
21.90,3.33,69.40
21.90,0.00,69.40
21.90,3.33,69.40
21.90,3.33,69.40
22.40,0.00,67.10
22.40,0.00,67.10
22.40,3.33,67.10
22.40,0.00,67.10
22.40,3.33,67.10
22.40,3.33,67.10
22.40,3.33,67.10
22.40,3.33,67.10
22.20,0.00,66.50
22.20,3.33,66.50
22.20,3.33,66.50
22.20,3.33,66.50
22.20,0.00,66.50
22.20,3.33,66.50
22.20,3.33,66.50
22.20,0.00,66.50
22.20,3.33,66.50
21.80,0.00,68.20
21.80,0.00,68.20
21.80,0.00,68.20
21.80,3.33,68.20
21.80,3.33,68.20
21.80,0.00,68.20
21.80,0.00,68.20
21.80,3.33,68.20
21.80,0.00,67.60
22.10,3.33,67.60
22.10,3.33,67.60
22.10,3.33,67.60
22.10,0.00,67.60
22.10,0.00,67.60
22.10,0.00,67.60
22.10,0.00,67.60
22.10,3.33,67.60
22.30,3.33,67.60
22.30,0.00,67.60
22.30,3.33,67.60
22.30,3.33,67.60
22.30,0.00,67.60
22.30,0.00,67.60
22.30,3.33,67.60
22.30,3.33,67.60
22.30,3.33,67.60
22.10,0.00,66.80
22.10,3.33,66.80
22.10,3.33,66.80
22.10,3.33,66.80
22.10,3.33,66.80
22.10,3.33,66.80
22.10,3.33,66.80
22.10,3.33,66.80
21.80,3.33,69.30
21.80,0.00,69.30
21.80,3.33,69.30
21.80,3.33,69.30
21.80,3.33,69.30
21.80,3.33,69.30
21.80,0.00,69.30
21.80,6.67,69.30
21.80,0.00,69.30
21.90,0.00,68.10
21.90,3.33,68.10
21.90,3.33,68.10
21.90,0.00,68.10
21.90,0.00,68.10
21.90,0.00,68.10
21.90,0.00,68.10
21.90,3.33,68.10
21.80,3.33,68.70
21.80,3.33,68.70
21.80,3.33,68.70
21.80,3.33,68.70
21.80,3.33,68.70
21.80,0.00,68.70
21.80,0.00,68.70
21.80,3.33,68.70
21.80,3.33,68.70
22.00,3.33,68.50
22.00,3.33,68.50
22.00,3.33,68.50
22.00,3.33,68.50
22.00,3.33,68.50
22.00,0.00,68.50
22.00,3.33,68.50
22.00,0.00,68.50
22.20,0.00,67.80
22.20,3.33,67.80
22.20,0.00,67.80
22.20,3.33,67.80
22.20,3.33,67.80
22.20,3.33,67.80
22.20,3.33,67.80
22.20,3.33,67.80
22.20,0.00,67.80
22.40,0.00,68.10
22.40,0.00,68.10
22.40,0.00,68.10
22.40,0.00,68.10
22.40,0.00,68.10
22.40,0.00,68.10
22.40,0.00,68.10
22.40,3.33,68.10
22.40,0.00,68.10
22.10,3.33,65.80
22.10,0.00,65.80
22.10,0.00,65.80
22.10,0.00,65.80
22.10,0.00,65.80
22.10,0.00,65.80
22.10,6.67,65.80
22.10,0.00,65.80
21.90,0.00,68.50
21.90,0.00,68.50
21.90,0.00,68.50
21.90,0.00,68.50
21.90,0.00,68.50
21.90,0.00,68.50
21.90,3.33,68.50
21.90,3.33,68.50
21.90,3.33,68.50
22.30,6.67,67.80
22.30,0.00,67.80
22.30,3.33,67.80
22.30,3.33,67.80
22.30,3.33,67.80
22.30,3.33,67.80
22.30,0.00,67.80
22.30,3.33,67.80
22.40,0.00,67.90
22.40,0.00,67.90
22.40,3.33,67.90
22.40,3.33,67.90
22.40,0.00,67.90
22.40,0.00,67.90
22.40,0.00,67.90
22.40,3.33,67.90
22.40,3.33,67.90
21.90,3.33,66.70
21.90,0.00,66.70
21.90,3.33,66.70
21.90,3.33,66.70
21.90,0.00,66.70
21.90,3.33,66.70
21.90,3.33,66.70
21.90,0.00,66.70
21.90,0.00,69.40
21.90,3.33,69.40
21.90,0.00,69.40
21.90,0.00,69.40
21.90,3.33,69.40
21.90,3.33,69.40
21.90,3.33,69.40
21.90,3.33,69.40
21.90,3.33,69.40
22.30,3.33,66.80
22.30,0.00,66.80
22.30,3.33,66.80
22.30,0.00,66.80
22.30,0.00,66.80
22.30,0.00,66.80
22.30,3.33,66.80
22.30,3.33,66.80
21.90,3.33,66.10
21.90,3.33,66.10
21.90,0.00,66.10
21.90,3.33,66.10
21.90,6.67,66.10
21.90,3.33,66.10
21.90,3.33,66.10
21.90,3.33,66.10
21.90,3.33,66.10
22.00,0.00,69.40
22.00,3.33,69.40
22.00,3.33,69.40
22.00,3.33,69.40
22.00,3.33,69.40
22.00,0.00,69.40
22.00,3.33,69.40
22.00,0.00,69.40
22.00,0.00,69.40
22.30,0.00,66.00
22.30,3.33,66.00
22.30,0.00,66.00
22.30,0.00,66.00
22.30,6.67,66.00
22.30,3.33,66.00
22.30,6.67,66.00
22.30,3.33,66.00
22.50,0.00,66.80
